Start Time, Wed Mar 4 16:11:53 GMT+0000 2026
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s), 80648.034719
Real Time (s), 80657.664186
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1232, 1232, 390
1233, 1233, 384
1234, 1234, 378
1235, 1235, 395
1236, 1236, 414
1237, 1237, 381
1238, 1238, 359
1239, 1239, 405
1240, 1240, 348
1241, 1241, 389
1242, 1242, 378
1243, 1243, 406
1244, 1244, 372
1245, 1245, 337
1246, 1246, 370
1247, 1247, 390
1248, 1248, 363
1249, 1249, 352
1250, 1250, 383
1251, 1251, 373
1252, 1252, 354
1253, 1253, 360
1254, 1254, 377
1255, 1255, 369
1256, 1256, 364
1257, 1257, 350
1258, 1258, 348
1259, 1259, 331
1260, 1260, 357
1261, 1261, 358
1262, 1262, 323
1263, 1263, 360
1264, 1264, 332
1265, 1265, 321
1266, 1266, 331
1267, 1267, 330
1268, 1268, 358
1269, 1269, 328
1270, 1270, 326
1271, 1271, 349
1272, 1272, 348
1273, 1273, 376
1274, 1274, 318
1275, 1275, 356
1276, 1276, 326
1277, 1277, 360
1278, 1278, 333
1279, 1279, 303
1280, 1280, 340
1281, 1281, 335
1282, 1282, 340
1283, 1283, 322
1284, 1284, 288
1285, 1285, 343
1286, 1286, 340
1287, 1287, 332
1288, 1288, 302
1289, 1289, 299
1290, 1290, 305
1291, 1291, 326
1292, 1292, 340
1293, 1293, 351
1294, 1294, 350
1295, 1295, 285
1296, 1296, 338
1297, 1297, 334
1298, 1298, 321
1299, 1299, 289
1300, 1300, 269
1301, 1301, 312
1302, 1302, 323
1303, 1303, 321
1304, 1304, 293
1305, 1305, 318
1306, 1306, 312
1307, 1307, 296
1308, 1308, 301
1309, 1309, 309
1310, 1310, 286
1311, 1311, 295
1312, 1312, 325
1313, 1313, 300
1314, 1314, 289
1315, 1315, 290
1316, 1316, 314
1317, 1317, 305
1318, 1318, 314
1319, 1319, 292
1320, 1320, 329
1321, 1321, 319
1322, 1322, 297
1323, 1323, 306
1324, 1324, 303
1325, 1325, 301
1326, 1326, 306
1327, 1327, 265
1328, 1328, 279
1329, 1329, 293
1330, 1330, 267
1331, 1331, 308
1332, 1332, 292
1333, 1333, 285
1334, 1334, 238
1335, 1335, 278
1336, 1336, 319
1337, 1337, 264
1338, 1338, 278
1339, 1339, 283
1340, 1340, 309
1341, 1341, 253
1342, 1342, 284
1343, 1343, 284
1344, 1344, 257
1345, 1345, 306
1346, 1346, 298
1347, 1347, 273
1348, 1348, 282
1349, 1349, 285
1350, 1350, 307
1351, 1351, 246
1352, 1352, 286
1353, 1353, 290
1354, 1354, 260
1355, 1355, 243
1356, 1356, 286
1357, 1357, 277
1358, 1358, 300
1359, 1359, 262
1360, 1360, 267
1361, 1361, 264
1362, 1362, 278
1363, 1363, 258
1364, 1364, 286
1365, 1365, 253
1366, 1366, 245
1367, 1367, 264
1368, 1368, 265
1369, 1369, 252
1370, 1370, 275
1371, 1371, 283
1372, 1372, 302
1373, 1373, 236
1374, 1374, 241
1375, 1375, 282
1376, 1376, 261
1377, 1377, 244
1378, 1378, 250
1379, 1379, 261
1380, 1380, 297
1381, 1381, 265
1382, 1382, 256
1383, 1383, 266
1384, 1384, 255
1385, 1385, 259
1386, 1386, 236
1387, 1387, 258
1388, 1388, 267
1389, 1389, 269
1390, 1390, 256
1391, 1391, 277
1392, 1392, 231
1393, 1393, 223
1394, 1394, 213
1395, 1395, 253
1396, 1396, 245
1397, 1397, 226
1398, 1398, 265
1399, 1399, 273
1400, 1400, 257
1401, 1401, 232
1402, 1402, 249
1403, 1403, 249
1404, 1404, 227
1405, 1405, 238
1406, 1406, 212
1407, 1407, 228
1408, 1408, 222
1409, 1409, 210
1410, 1410, 238
1411, 1411, 250
1412, 1412, 223
1413, 1413, 235
1414, 1414, 243
1415, 1415, 223
1416, 1416, 245
1417, 1417, 226
1418, 1418, 243
1419, 1419, 219
1420, 1420, 204
1421, 1421, 247
1422, 1422, 247
1423, 1423, 231
1424, 1424, 240
1425, 1425, 227
1426, 1426, 235
1427, 1427, 243
1428, 1428, 264
1429, 1429, 229
1430, 1430, 215
1431, 1431, 259
1432, 1432, 244
1433, 1433, 239
1434, 1434, 235
1435, 1435, 230
1436, 1436, 265
1437, 1437, 245
1438, 1438, 260
1439, 1439, 265
1440, 1440, 255
1441, 1441, 267
1442, 1442, 276
1443, 1443, 240
1444, 1444, 264
1445, 1445, 287
1446, 1446, 302
1447, 1447, 305
1448, 1448, 265
1449, 1449, 285
1450, 1450, 269
1451, 1451, 317
1452, 1452, 329
1453, 1453, 311
1454, 1454, 282
1455, 1455, 309
1456, 1456, 327
1457, 1457, 344
1458, 1458, 362
1459, 1459, 337
1460, 1460, 328
1461, 1461, 368
1462, 1462, 325
1463, 1463, 353
1464, 1464, 380
1465, 1465, 379
1466, 1466, 424
1467, 1467, 382
1468, 1468, 409
1469, 1469, 395
1470, 1470, 432
1471, 1471, 444
1472, 1472, 433
1473, 1473, 444
1474, 1474, 426
1475, 1475, 472
1476, 1476, 514
1477, 1477, 501
1478, 1478, 470
1479, 1479, 516
1480, 1480, 523
1481, 1481, 551
1482, 1482, 527
1483, 1483, 515
1484, 1484, 525
1485, 1485, 580
1486, 1486, 582
1487, 1487, 571
1488, 1488, 634
